uptime&carts:80&cart
4,4,1,9,9,9,0
5,0,1,9,9,9,0
5,6,1,9,9,9,0
6,2,1,9,9,8,9
6,8,1,9,9,8,9
7,4,1,9,9,9,0
8,0,1,9,9,8,9
8,6,1,9,9,9,0
9,2,1,9,9,8,9
9,8,1,9,9,9,0
uptime&orders:80&orders
4,4,1,9,5,1,0
5,0,1,9,5,1,0
5,6,1,9,5,1,0
6,2,1,9,5,1,0
6,8,1,9,5,1,0
7,4,1,9,5,1,0
8,0,1,9,5,0,9
8,6,1,9,5,1,0
9,2,1,9,5,1,0
9,8,1,9,5,1,0
uptime&shipping:80&shipping
4,4,1,2,0,6,0
5,0,1,2,0,5,9
5,6,1,2,0,5,9
6,2,1,2,0,5,9
6,8,1,2,0,5,9
7,4,1,2,0,5,9
8,0,1,2,0,5,8
8,6,1,2,0,5,9
9,2,1,2,0,5,8
9,8,1,2,0,5,9
